v3id	name	type	v4id
GRMZM2G125934	ZmbZIP85	bZIP	Zm00001d006027
GRMZM2G048450	ZmWRKY2	WRKY	Zm00001d016052
GRMZM2G171781	ZmMYB30	MYB	Zm00001d010907
GRMZM2G057116	ZmWRKY34	WRKY	Zm00001d009939
GRMZM2G101350	ZmbHLH29	bHLH	Zm00001d017778
GRMZM2G018472	ZmbHLH26	bHLH	Zm00001d030971
GRMZM2G068672	ZmHB60	HD-ZIP	Zm00001d036118
GRMZM2G121570	ZmMYB73	MYB	Zm00001d033265
GRMZM2G000520	ZmEREB127	ERF	Zm00001d051451
GRMZM2G038691	ZmOrphan63	NA	Zm00001d037051
GRMZM2G414805	ZmSBP25	SBP	Zm00001d014698
GRMZM2G387528	ZmbHLH65	bHLH	Zm00001d008205
GRMZM2G021831	ZmTHX15	Trihelix	Zm00001d003549
AC197146.3_FG002	ZmMYB69	MYB	Zm00001d023282
GRMZM2G001606	ZmOrphan64	NA	Zm00001d032836
GRMZM2G151542	ZmEREB80	ERF	Zm00001d011499
GRMZM2G180430	ZmDBP2	NA	Zm00001d018394
GRMZM2G173943	ZmGLK7	G2-like	Zm00001d020020
GRMZM2G129034	ZmMADS49	MIKC_MADS	Zm00001d006094
GRMZM2G065394	ZmOrphan66	NA	Zm00001d046778
GRMZM2G402862	ZmbZIP15	bZIP	Zm00001d036392
GRMZM5G853836	ZmCA2P5	NF-YA	Zm00001d031092
GRMZM2G140694	ZmDOF29	Dof	Zm00001d017788
GRMZM2G044077	ZmEREB96	ERF	Zm00001d008968
GRMZM2G008691	ZmbHLH36	bHLH	Zm00001d052192
GRMZM2G479665	ZmOrphan67	NA	Zm00001d002542
GRMZM2G177046	ZmbZIP26	bZIP	Zm00001d034199
GRMZM2G092091	ZmbHLH27	bHLH	Zm00001d033870
GRMZM2G449681	ZmWRKY92	WRKY	Zm00001d010399
GRMZM2G119261	ZmMYBR114	NA	Zm00001d004521
GRMZM2G065374	ZmbHLH47	bHLH	Zm00001d034298
GRMZM2G018436	ZmNAC126	NAC	Zm00001d005028
GRMZM2G100229	ZmOrphan68	NA	Zm00001d011138
GRMZM2G017349	ZmbHLH125	bHLH	Zm00001d045212
GRMZM2G151519	ZmZIM35	NA	Zm00001d050365
GRMZM2G138396	ZmEREB211	ERF	Zm00001d005892
GRMZM2G180406	ZmbHLH32	bHLH	Zm00001d042373
GRMZM2G075122	ZmGBP6	GeBP	Zm00001d006945
GRMZM2G074032	ZmC2H2	C2H2	Zm00001d047976
GRMZM2G089949	ZmDOF6	Dof	Zm00001d040362
GRMZM2G322090	ZmCPP5	CPP	Zm00001d031009
GRMZM2G300924	ZmEREB170	ERF	Zm00001d051239
GRMZM2G372297	ZmOrphan69	NA	Zm00001d044525
GRMZM2G048403	ZmMYBR15	MYB_related	Zm00001d032107
GRMZM2G047316	ZmALF19	NA	Zm00001d005185
GRMZM2G113950	ZmNAC26	NAC	Zm00001d051879
GRMZM2G140669	ZmGATA3	GATA	Zm00001d017409
GRMZM2G006497	ZmWRKY49	WRKY	Zm00001d008578
GRMZM2G069713	ZmOrphan70	NA	Zm00001d037949
GRMZM2G109496	ZmOrphan71	NA	Zm00001d025780
GRMZM5G842961	ZmEREB30	ERF	Zm00001d017477
GRMZM2G006493	ZmC3H54	C3H	Zm00001d023636
GRMZM2G122615	ZmNAC94	NAC	Zm00001d043877
GRMZM2G122614	ZmARF6	ARF	Zm00001d003011
GRMZM2G323172	ZmEREB9	ERF	Zm00001d037531
GRMZM2G111770	ZmNAC15	NAC	Zm00001d025684
GRMZM2G066448	ZmOrphan72	NA	Zm00001d038395
GRMZM2G165090	ZmbHLH158	bHLH	Zm00001d030972
GRMZM2G040924	ZmMYB89	MYB	Zm00001d017385
GRMZM2G475289	ZmbHLH140	bHLH	Zm00001d027419
GRMZM2G094241	ZmHB23	TALE	Zm00001d010948
GRMZM2G149219	ZmWRKY96	WRKY	Zm00001d033471
GRMZM2G018414	ZmGRF4	GRF	Zm00001d033396
GRMZM2G029979	ZmbZIP28	bZIP	Zm00001d015846
GRMZM2G178102	ZmHB25	HD-ZIP	Zm00001d041489
GRMZM2G137289	ZmMADS55	M-type_MADS	Zm00001d041587
GRMZM2G532534	ZmGATA10	GATA	Zm00001d048391
GRMZM2G397948	ZmOrphan73	NA	Zm00001d041983
GRMZM2G035370	ZmGLK16	G2-like	Zm00001d001936
GRMZM5G852704	ZmEREB31	ERF	Zm00001d044857
GRMZM2G109480	ZmABI7	B3	Zm00001d027939
GRMZM2G111760	ZmTHX22	Trihelix	Zm00001d014938
GRMZM2G382029	ZmMYBR16	MYB_related	NA
GRMZM5G829103	ZmCA2P6	NF-YA	Zm00001d033215
GRMZM2G006477	ZmGLK17	G2-like	Zm00001d029020
GRMZM2G087741	ZmHB74	TALE	Zm00001d040611
GRMZM2G057768	ZmOrphan74	NA	Zm00001d029772
GRMZM2G068604	ZmbHLH115	bHLH	Zm00001d031167
GRMZM2G010929	ZmHB26	WOX	Zm00001d008612
GRMZM2G059939	ZmEREB162	ERF	Zm00001d038907
GRMZM2G475263	ZmARF7	ARF	Zm00001d039267
GRMZM5G846057	ZmEREB34	ERF	Zm00001d039077
GRMZM2G371176	ZmOrphan75	NA	Zm00001d039510
GRMZM2G076896	ZmEREB111	ERF	Zm00001d053195
GRMZM2G010920	ZmGLK18	G2-like	Zm00001d015226
GRMZM2G045109	ZmbHLH34	bHLH	Zm00001d046096
GRMZM2G479610	ZmCA5P2	NF-YC	Zm00001d012133
AC233950.1_FG002	ZmTCP1	TCP	Zm00001d033673
GRMZM2G426140	ZmHB27	HB-other	Zm00001d015671
GRMZM2G120401	ZmEREB194	ERF	Zm00001d050948
GRMZM2G131961	ZmbZIP27	bZIP	Zm00001d002143
GRMZM2G047999	ZmEREB178	ERF	Zm00001d016623
GRMZM2G179885	ZmNAC132	NAC	Zm00001d021818
GRMZM2G138340	ZmbZIP29	bZIP	Zm00001d034571
GRMZM2G034253	ZmOrphan76	NA	Zm00001d013000
GRMZM2G111731	ZmMYB44	MYB	Zm00001d040423
GRMZM2G044004	ZmC3H48	NA	Zm00001d044667
AC225147.4_FG003	ZmALF15	NA	Zm00001d034627
GRMZM2G107276	ZmbHLH42	bHLH	Zm00001d032213
GRMZM2G396825	ZmGLK19	G2-like	Zm00001d040630
GRMZM2G106185	ZmGLK20	G2-like	Zm00001d017563
GRMZM2G129674	ZmEREB179	ERF	Zm00001d027924
GRMZM2G032071	ZmOrphan77	NA	Zm00001d021754
GRMZM2G160840	ZmMYB118	MYB	Zm00001d041580
GRMZM2G077960	ZmOrphan78	NA	Zm00001d029419
GRMZM2G365754	ZmbZIP67	NA	NA
GRMZM2G127490	ZmMYB149	MYB	Zm00001d024784
GRMZM2G478501	ZmCADR4	NF-YB	Zm00001d039957
GRMZM2G477415	ZmHB42	HD-ZIP	Zm00001d014628
GRMZM2G005353	ZmYAB14	YABBY	Zm00001d025944
GRMZM2G409881	ZmHB117	WOX	Zm00001d039017
GRMZM2G165042	ZmbHLH43	bHLH	Zm00001d033267
GRMZM2G160838	ZmMYB32	MYB	Zm00001d042665
GRMZM2G333591	ZmE2F2	E2F/DP	Zm00001d007384
GRMZM2G025579	ZmOrphan79	NA	Zm00001d046928
GRMZM2G083350	ZmWRKY26	WRKY	Zm00001d008794
GRMZM2G082264	ZmGLK21	G2-like	Zm00001d020384
GRMZM2G130854	ZmWRKY116	WRKY	Zm00001d006702
GRMZM2G086614	ZmC3H6	NA	Zm00001d047539
GRMZM2G046885	ZmMADS73	MIKC_MADS	Zm00001d018142
GRMZM5G812926	ZmOrphan80	NA	Zm00001d033240
GRMZM2G111711	ZmWRKY124	WRKY	Zm00001d046805
GRMZM2G311187	ZmOrphan81	NA	Zm00001d006486
GRMZM2G083347	ZmNAC67	NAC	Zm00001d023669
GRMZM2G117007	ZmC3H7	C3H	Zm00001d010956
GRMZM2G131937	ZmMYB33	MYB	Zm00001d032179
GRMZM2G333582	ZmbHLH62	bHLH	Zm00001d008853
AC155377.1_FG001	ZmOrphan82	NA	Zm00001d044303
GRMZM2G135052	ZmMYBR69	MYB_related	Zm00001d045581
GRMZM2G002075	ZmbZIP123	bZIP	Zm00001d005884
GRMZM2G006429	ZmOrphan83	NA	Zm00001d047679
GRMZM2G365731	ZmARID1	NA	Zm00001d032832
GRMZM2G178767	ZmDOF12	Dof	Zm00001d013783
GRMZM2G033138	ZmHB28	HB-other	Zm00001d015265
GRMZM2G125294	ZmHB29	HB-other	Zm00001d009562
GRMZM2G154182	ZmNAC130	NAC	Zm00001d008403
GRMZM2G147698	ZmMYB156	MYB	Zm00001d029293
GRMZM2G361376	ZmABI15	NA	Zm00001d044676
GRMZM2G026643	ZmHB31	HD-ZIP	Zm00001d040090
GRMZM2G420801	ZmOrphan84	NA	Zm00001d025050
GRMZM2G024468	ZmMYB83	MYB	Zm00001d032178
GRMZM2G081158	ZmARF34	ARF	Zm00001d031064
GRMZM5G839518	ZmbHLH152	bHLH	Zm00001d016873
GRMZM2G006416	ZmOrphan85	NA	Zm00001d021390
GRMZM5G889719	ZmEREB1	ERF	Zm00001d000179
GRMZM2G028813	ZmOrphan86	NA	Zm00001d013112
GRMZM2G415251	ZmEREB35	AP2	Zm00001d028070
GRMZM2G148772	ZmOrphan87	CO-like	Zm00001d015468
GRMZM2G153087	ZmALF4	NA	Zm00001d041767
GRMZM2G333565	ZmHB35	HB-other	Zm00001d018285
GRMZM2G147685	ZmbHLH167	bHLH	Zm00001d003677
GRMZM2G315515	ZmC3H8	C3H	Zm00001d049516
GRMZM2G435475	ZmDOF10	Dof	Zm00001d038693
GRMZM2G156348	ZmTHX23	Trihelix	Zm00001d002424
GRMZM2G175480	ZmbHLH44	bHLH	Zm00001d009999
GRMZM5G830949	ZmC3H9	C3H	Zm00001d011470
GRMZM2G370026	ZmbZIP31	bZIP	Zm00001d031194
GRMZM2G062009	ZmNAC17	NAC	Zm00001d051140
GRMZM2G155252	ZmGBP13	GeBP	Zm00001d035295
GRMZM2G178741	ZmHB22	HD-ZIP	Zm00001d048312
GRMZM2G080054	ZmbHLH148	bHLH	Zm00001d002288
GRMZM2G414159	ZmTHX19	Trihelix	Zm00001d013849
GRMZM2G176568	ZmMYBR18	MYB_related	Zm00001d008601
GRMZM2G056600	ZmHB120	HD-ZIP	Zm00001d020804
GRMZM2G315506	ZmGLK22	G2-like	Zm00001d049511
GRMZM2G082227	ZmABI8	B3	Zm00001d027409
GRMZM2G342217	ZmGRAS28	GRAS	Zm00001d049249
GRMZM2G179827	ZmOrphan88	NA	Zm00001d003598
GRMZM2G093789	ZmMYB59	MYB	Zm00001d036551
GRMZM2G042494	ZmNAC81	NAC	Zm00001d047554
GRMZM2G108309	ZmOrphan89	NA	Zm00001d047385
GRMZM2G092694	ZmWRKY18	WRKY	Zm00001d008190
GRMZM2G074645	ZmHB123	TALE	Zm00001d010060
GRMZM2G005301	ZmEREB144	ERF	Zm00001d016260
GRMZM2G119865	ZmEREB25	ERF	Zm00001d036298
GRMZM2G135018	ZmMADS27	MIKC_MADS	Zm00001d003168
GRMZM2G020081	ZmOrphan90	NA	Zm00001d051114
GRMZM2G081127	ZmSBP9	SBP	Zm00001d008176
GRMZM2G093776	ZmOrphan91	NA	Zm00001d034655
GRMZM2G052239	ZmNAC62	NAC	Zm00001d034984
AC165178.2_FG004	ZmMYB35	MYB	Zm00001d005760
GRMZM2G415229	ZmTHX10	Trihelix	Zm00001d026245
GRMZM2G023346	ZmOrphan92	NA	Zm00001d021949
GRMZM2G154149	ZmOrphan93	NA	Zm00001d048138
GRMZM2G045748	ZmMYB162	MYB	Zm00001d020457
GRMZM2G435445	ZmTUB5	NA	Zm00001d038691
GRMZM2G047918	ZmEREB191	ERF	Zm00001d016262
GRMZM2G069082	ZmEREB36	ERF	Zm00001d021205
GRMZM2G127426	ZmOrphan94	NA	Zm00001d039222
GRMZM2G179802	ZmHSF29	HSF	Zm00001d016520
GRMZM5G885329	ZmNAC18	NAC	Zm00001d021423
GRMZM2G046829	ZmYAB4	YABBY	Zm00001d021863
GRMZM2G075715	ZmARF37	NA	Zm00001d019539
GRMZM2G013581	ZmMYB62	MYB	Zm00001d035604
GRMZM2G040298	ZmWRKY29	WRKY	Zm00001d043569
GRMZM2G176537	ZmGRAS30	GRAS	Zm00001d025133
GRMZM2G125243	ZmbZIP33	bZIP	Zm00001d012553
GRMZM2G106108	ZmOrphan95	NA	Zm00001d003571
GRMZM2G407631	ZmbZIP35	bZIP	Zm00001d046664
GRMZM2G475882	ZmARF30	NA	Zm00001d026590
GRMZM2G481280	ZmbHLH45	bHLH	Zm00001d035155
GRMZM2G039094	ZmOrphan96	NA	Zm00001d030958
GRMZM2G046816	ZmTUB3	NA	Zm00001d053179
GRMZM2G138976	ZmARID4	NA	Zm00001d020593
GRMZM2G125239	ZmGBP14	GeBP	Zm00001d053298
GRMZM2G312201	ZmNAC70	NAC	Zm00001d043094
GRMZM2G148723	ZmbHLH46	bHLH	Zm00001d039272
GRMZM2G414114	ZmTCP27	TCP	Zm00001d007432
GRMZM2G322672	ZmEREB37	ERF	Zm00001d015305
GRMZM2G407623	ZmOrphan97	NA	Zm00001d048990
GRMZM2G020054	ZmEREB54	ERF	Zm00001d024324
GRMZM2G164591	ZmEREB40	NA	NA
GRMZM2G174347	ZmEREB92	ERF	Zm00001d000339
GRMZM2G145458	ZmZIM3	NA	Zm00001d033049
GRMZM2G014653	ZmNAC109	NAC	Zm00001d042609
GRMZM2G105004	ZmNLP9	Nin-like	Zm00001d025757
GRMZM2G093744	ZmbHLH162	bHLH	Zm00001d024679
GRMZM2G353734	ZmZHD7	ZF-HD	Zm00001d050443
GRMZM2G138967	ZmGATA17	GATA	Zm00001d011771
GRMZM2G034876	ZmGRF6	GRF	Zm00001d017742
GRMZM2G119828	ZmOrphan98	NA	Zm00001d040369
GRMZM2G143274	ZmMYB76	MYB	Zm00001d008695
GRMZM2G010298	ZmOrphan99	NA	Zm00001d021582
GRMZM2G119823	ZmbHLH108	bHLH	Zm00001d025141
GRMZM2G147623	ZmC3H10	C3H	Zm00001d004541
AC203173.3_FG001	ZmOrphan100	NA	Zm00001d012767
GRMZM2G010290	ZmDOF23	Dof	Zm00001d026096
GRMZM2G116557	ZmARF25	ARF	Zm00001d011953
GRMZM2G145444	ZmMYB50	MYB	Zm00001d015614
GRMZM2G039074	ZmGLK23	G2-like	Zm00001d033310
GRMZM2G016817	ZmALF5	NA	Zm00001d038208
GRMZM2G088189	ZmMYB161	MYB	Zm00001d014989
GRMZM2G142179	ZmEREB50	ERF	Zm00001d039324
GRMZM2G107886	ZmCOL4	CO-like	Zm00001d045661
GRMZM2G407605	ZmOrphan101	NA	Zm00001d048989
GRMZM2G095904	ZmMYB41	MYB	Zm00001d017268
GRMZM2G087095	ZmMADS24	MIKC_MADS	Zm00001d034047
GRMZM2G106798	ZmSBP3	SBP	Zm00001d049165
GRMZM2G069047	ZmNAC115	NAC	Zm00001d049678
GRMZM2G060485	ZmGLK24	G2-like	Zm00001d015521
GRMZM2G071322	ZmNLP10	Nin-like	Zm00001d044519
GRMZM5G823157	ZmWRKY46	WRKY	Zm00001d017712
GRMZM2G093725	ZmDOF28	Dof	Zm00001d034653
GRMZM2G144346	ZmCOL2	CO-like	Zm00001d033719
GRMZM2G115456	ZmHSF5	HSF	Zm00001d034886
GRMZM2G035944	ZmTCP7	TCP	Zm00001d010730
GRMZM2G472589	ZmNLP11	Nin-like	Zm00001d053437
GRMZM2G136765	ZmOrphan102	NA	Zm00001d011195
GRMZM2G402156	ZmMYBR19	MYB_related	Zm00001d045162
GRMZM2G062650	ZmNAC128	NAC	Zm00001d040189
GRMZM2G146514	ZmC3H11	C3H	Zm00001d049223
GRMZM5G825321	ZmGRAS31	GRAS	Zm00001d002718
GRMZM2G083964	ZmCA5P4	NF-YC	Zm00001d034872
GRMZM2G325907	ZmMYB92	MYB	Zm00001d024630
AC233850.1_FG005	ZmE2F4	E2F/DP	Zm00001d016737
GRMZM2G303501	ZmOrphan103	NA	NA
AC234155.1_FG002	ZmGLK25	G2-like	Zm00001d010634
GRMZM2G167829	ZmMYB151	MYB	Zm00001d043611
GRMZM2G369472	ZmEREB172	ERF	Zm00001d031796
GRMZM2G167824	ZmYAB10	YABBY	Zm00001d032502
GRMZM2G162382	ZmbHLH39	bHLH	Zm00001d018967
GRMZM2G108959	ZmMYB61	MYB	Zm00001d053124
GRMZM2G005954	ZmZIM13	NA	Zm00001d005813
GRMZM2G052890	ZmMADS37	MIKC_MADS	Zm00001d037737
GRMZM2G034840	ZmARF4	ARF	Zm00001d001945
GRMZM2G069028	ZmHB125	WOX	Zm00001d004889
GRMZM2G020016	ZmEREB42	ERF	Zm00001d038584
AC233935.1_FG005	ZmDOF30	Dof	Zm00001d028625
GRMZM2G060465	ZmEREB155	ERF	Zm00001d052365
GRMZM2G423456	ZmOrphan104	NA	Zm00001d012005
GRMZM2G029292	ZmWRKY35	WRKY	Zm00001d012508
GRMZM2G145412	ZmZIM18	NA	Zm00001d033050
GRMZM2G156977	ZmNAC22	NAC	Zm00001d002285
GRMZM2G070211	ZmWRKY102	WRKY	Zm00001d033291
GRMZM2G001592	ZmOrphan105	NA	Zm00001d032837
GRMZM2G089244	ZmMYB67	MYB	Zm00001d053060
GRMZM2G166721	ZmNAC16	NAC	Zm00001d039506
GRMZM2G009060	ZmGLK26	G2-like	Zm00001d028984
GRMZM2G113257	ZmbHLH169	bHLH	Zm00001d005919
GRMZM2G051793	ZmMYB45	MYB	Zm00001d018776
GRMZM2G032655	ZmMYB49	MYB	Zm00001d003412
GRMZM2G145407	ZmZIM33	NA	Zm00001d003903
GRMZM2G029282	ZmWRKY88	WRKY	Zm00001d012507
GRMZM2G092609	ZmbZIP103	bZIP	Zm00001d016732
GRMZM2G115424	ZmALF6	NA	Zm00001d023962
GRMZM2G023988	ZmC2H3	C2H2	Zm00001d016911
GRMZM2G051785	ZmGRAS32	GRAS	Zm00001d045589
GRMZM2G108933	ZmHB94	WOX	Zm00001d042920
GRMZM2G087059	ZmEREB131	ERF	Zm00001d003884
GRMZM2G069009	ZmC3H12	C3H	Zm00001d040301
GRMZM2G088140	ZmbZIP37	bZIP	Zm00001d024041
GRMZM2G003755	ZmOrphan107	NA	Zm00001d004772
GRMZM2G347043	ZmNAC49	NAC	Zm00001d034601
GRMZM2G060444	ZmHB57	HD-ZIP	Zm00001d004234
GRMZM2G134552	ZmOrphan108	NA	Zm00001d018235
GRMZM2G001577	ZmOrphan109	NA	Zm00001d032838
GRMZM5G812272	ZmWRKY42	WRKY	Zm00001d011527
GRMZM2G341747	ZmOrphan110	CAMTA	Zm00001d014286
GRMZM2G444748	ZmbZIP60	bZIP	Zm00001d015153
GRMZM2G421256	ZmMYBR20	MYB_related	Zm00001d002545
GRMZM2G079470	ZmGRAS33	GRAS	Zm00001d029855
GRMZM2G131281	ZmEREB116	ERF	Zm00001d021089
GRMZM2G021790	ZmEREB146	ERF	Zm00001d009573
GRMZM2G087040	ZmEREB157	ERF	Zm00001d016848
GRMZM2G134545	ZmDOF14	Dof	Zm00001d021591
GRMZM2G423423	ZmZHD8	ZF-HD	Zm00001d033791
GRMZM2G030458	ZmGBP9	GeBP	Zm00001d047421
GRMZM2G342821	ZmOrphan111	NA	Zm00001d041437
GRMZM2G132367	ZmHB5	HD-ZIP	Zm00001d027991
GRMZM2G143205	ZmCAMTA1	CAMTA	Zm00001d003958
GRMZM2G143204	ZmWRKY30	WRKY	Zm00001d034073
GRMZM2G137802	ZmWRKY68	WRKY	Zm00001d011133
GRMZM2G153675	ZmOrphan112	NA	Zm00001d005071
GRMZM2G522066	ZmABI9	B3	Zm00001d030908
GRMZM2G163427	ZmGRAS34	GRAS	Zm00001d048604
GRMZM2G087032	ZmC3H13	C3H	Zm00001d042363
GRMZM2G098594	ZmGRF7	GRF	Zm00001d035965
GRMZM2G111045	ZmMYB103	MYB	Zm00001d051269
GRMZM2G079458	ZmMYBR21	MYB	Zm00001d008602
GRMZM2G105641	ZmNLP12	Nin-like	Zm00001d018035
GRMZM2G126957	ZmCA2P7	NF-YA	Zm00001d026305
GRMZM2G104551	ZmMYB152	MYB	Zm00001d021296
GRMZM2G131266	ZmEREB60	AP2	Zm00001d032144
GRMZM2G319215	ZmOrphan113	NA	NA
GRMZM5G832473	ZmNAC93	NAC	Zm00001d042758
GRMZM2G021777	ZmCOL3	CO-like	Zm00001d017176
GRMZM2G460594	ZmOrphan114	NA	Zm00001d033968
AC208110.2_FG001	ZmWRKY112	WRKY	Zm00001d026218
GRMZM2G163418	ZmWRKY38	WRKY	Zm00001d005622
GRMZM2G071977	ZmMYBR17	MYB_related	Zm00001d044409
GRMZM2G027068	ZmbHLH48	bHLH	Zm00001d034596
GRMZM2G028151	ZmEREB184	AP2	Zm00001d034204
GRMZM2G173882	ZmGLK27	G2-like	Zm00001d007962
GRMZM2G041991	ZmCOL12	CO-like	Zm00001d017939
GRMZM2G172795	ZmbHLH2	bHLH	Zm00001d000236
GRMZM2G107807	ZmALF7	NA	Zm00001d050816
GRMZM2G113202	ZmOrphan115	NA	Zm00001d032637
GRMZM2G468056	ZmWRKY90	WRKY	Zm00001d012505
GRMZM2G018398	ZmEREB14	ERF	Zm00001d052087
GRMZM2G003715	ZmNAC61	NAC	Zm00001d024543
GRMZM5G806839	ZmEREB44	ERF	Zm00001d029884
GRMZM2G544441	ZmOrphan116	NA	Zm00001d051874
GRMZM2G386362	ZmGRAS35	GRAS	Zm00001d002023
GRMZM2G396114	ZmHB36	TALE	Zm00001d033898
GRMZM2G126936	ZmNAC45	NAC	Zm00001d048044
GRMZM2G160136	ZmbZIP42	bZIP	Zm00001d040500
GRMZM2G404973	ZmGATA11	GATA	Zm00001d002811
GRMZM2G421212	ZmGATA19	GATA	Zm00001d025988
GRMZM2G366130	ZmHB59	HD-ZIP	Zm00001d005875
GRMZM2G123667	ZmNAC125	NAC	Zm00001d000112
GRMZM2G057027	ZmMYB55	MYB	Zm00001d028842
GRMZM2G100176	ZmGLK28	G2-like	Zm00001d018697
GRMZM2G452996	ZmbHLH110	bHLH	Zm00001d027753
GRMZM2G148098	ZmHB37	TALE	Zm00001d013547
GRMZM2G068586	ZmTUB1	NA	Zm00001d011578
GRMZM2G070865	ZmGLK29	G2-like	Zm00001d051527
GRMZM2G155816	ZmNAC19	NAC	Zm00001d016119
GRMZM2G173862	ZmbHLH79	bHLH	Zm00001d012642
GRMZM2G095299	ZmOrphan117	DBB	Zm00001d017147
GRMZM2G114998	ZmDOF17	Dof	Zm00001d051439
AC203957.3_FG004	ZmbZIP40	bZIP	Zm00001d005578
GRMZM2G130149	ZmMYB56	MYB	Zm00001d030678
GRMZM2G098557	ZmSBP7	SBP	Zm00001d052905
GRMZM2G152543	ZmNAC55	NAC	Zm00001d032182
GRMZM2G075064	ZmMYBR23	MYB_related	Zm00001d036883
GRMZM2G057011	ZmWRKY55	WRKY	Zm00001d005749
GRMZM2G148087	ZmWRKY43	WRKY	Zm00001d043025
GRMZM2G030403	ZmMYBR9	MYB_related	Zm00001d024814
GRMZM2G461648	ZmWRKY77	WRKY	Zm00001d052355
GRMZM2G470307	ZmMYB117	MYB	Zm00001d039306
GRMZM2G348780	ZmGRAS36	GRAS	Zm00001d030838
GRMZM2G307241	ZmBZR3	BES1	Zm00001d053543
GRMZM2G097456	ZmGRAS11	GRAS	Zm00001d021998
GRMZM2G070849	ZmMYB75	MYB	Zm00001d028930
GRMZM2G151444	ZmWRKY45	WRKY	Zm00001d039584
GRMZM2G097454	ZmOrphan118	NA	Zm00001d030229
GRMZM2G148074	ZmHB78	HD-ZIP	Zm00001d029934
AC217264.3_FG005	ZmMYB58	MYB	Zm00001d033075
AC203535.4_FG002	ZmNAC90	NAC	Zm00001d042288
GRMZM2G015097	ZmCPP2	CPP	Zm00001d031008
AC203535.4_FG001	ZmMYB135	MYB	Zm00001d042287
GRMZM2G429378	ZmEREB175	ERF	Zm00001d045262
GRMZM2G019446	ZmbZIP41	bZIP	Zm00001d034447
GRMZM2G113888	ZmTCP9	TCP	Zm00001d044836
GRMZM2G169382	ZmEREB193	ERF	Zm00001d040651
GRMZM2G037493	ZmTHX9	Trihelix	Zm00001d031391
GRMZM2G460544	ZmSBP30	SBP	Zm00001d052890
GRMZM2G019443	ZmEREB82	ERF	Zm00001d019116
GRMZM2G088783	ZmMYB47	MYB	Zm00001d043687
GRMZM2G099622	ZmC3H15	C3H	Zm00001d006619
GRMZM2G065290	ZmWRKY41	WRKY	Zm00001d043063
GRMZM2G180328	ZmNAC20	NAC	Zm00001d038221
GRMZM2G017268	ZmMYB63	MYB	Zm00001d052804
GRMZM2G149150	ZmbZIP43	bZIP	Zm00001d052725
GRMZM2G096358	ZmMYB22	MYB	Zm00001d008528
GRMZM2G421899	ZmARID5	NA	Zm00001d017831
GRMZM2G067463	ZmEREB45	ERF	Zm00001d002011
GRMZM5G848185	ZmMYBR25	MYB_related	Zm00001d018320
GRMZM2G015080	ZmGRAS37	GRAS	Zm00001d005029
GRMZM2G066373	ZmGBP4	GeBP	Zm00001d044953
GRMZM2G124715	ZmMYB64	MYB	Zm00001d004744
GRMZM2G141679	ZmEREB109	ERF	Zm00001d020267
GRMZM2G171650	ZmMADS69	M-type_MADS	Zm00001d042315
GRMZM2G010871	ZmHSF24	HSF	Zm00001d032923
GRMZM2G064197	ZmGLK1	G2-like	Zm00001d020019
GRMZM2G353076	ZmZHD9	ZF-HD	Zm00001d044662
GRMZM2G179121	ZmARF33	ARF	Zm00001d030801
GRMZM2G174917	ZmEREB47	ERF	Zm00001d002079
GRMZM2G122537	ZmHB82	WOX	Zm00001d035535
GRMZM2G111696	ZmVOZ1	VOZ	Zm00001d038704
GRMZM2G148056	ZmOrphan120	NA	Zm00001d019555
GRMZM5G832409	ZmHB39	TALE	Zm00001d035439
GRMZM2G089850	ZmDOF16	Dof	Zm00001d020837
GRMZM2G170559	ZmbHLH72	bHLH	Zm00001d016354
GRMZM2G142751	ZmTCP10	TCP	Zm00001d037221
GRMZM2G018336	ZmABI13	B3	Zm00001d011639
GRMZM2G098517	ZmGRAS38	GRAS	Zm00001d021946
GRMZM2G354151	ZmNAC27	NAC	Zm00001d051294
GRMZM2G071907	ZmWRKY50	WRKY	Zm00001d002405
GRMZM2G149132	ZmDBP3	NA	Zm00001d045128
GRMZM2G150327	ZmbHLH111	bHLH	Zm00001d030232
GRMZM2G016150	ZmbZIP128	bZIP	Zm00001d034457
GRMZM2G011947	ZmGRAS18	GRAS	Zm00001d035873
GRMZM2G118063	ZmHB17	HD-ZIP	Zm00001d000247
GRMZM2G169356	ZmMYB66	MYB	Zm00001d020405
GRMZM2G366795	ZmWRKY51	WRKY	Zm00001d039044
GRMZM2G010855	ZmOrphan122	NA	NA
AC199782.5_FG003	ZmTCP19	TCP	Zm00001d006165
GRMZM2G139372	ZmbHLH51	bHLH	Zm00001d053895
GRMZM2G112764	ZmMYBR26	MYB_related	Zm00001d024644
GRMZM2G400559	ZmWRKY23	WRKY	Zm00001d005056
GRMZM2G151407	ZmWRKY52	WRKY	Zm00001d020881
GRMZM2G086573	ZmEREB24	AP2	Zm00001d002025
GRMZM2G016145	ZmOrphan123	NA	Zm00001d050200
GRMZM2G028794	ZmABI43	B3	Zm00001d048244
GRMZM5G812883	ZmbHLH52	bHLH	Zm00001d049721
GRMZM2G095239	ZmMYBR27	MYB_related	Zm00001d013694
GRMZM2G084397	ZmOrphan124	NA	Zm00001d047483
GRMZM2G110582	ZmMADS71	M-type_MADS	Zm00001d046323
GRMZM2G159592	ZmEREB49	RAV	Zm00001d009468
GRMZM2G131897	ZmDOF18	Dof	Zm00001d030897
