TF_ID	Gene_ID	Family	rapdb
LOC_Os03g11600.2	LOC_Os03g11600	YABBY	Os03g0215200
LOC_Os03g12120.1	LOC_Os03g12120	NAC	Os03g0221300
LOC_Os03g12370.1	LOC_Os03g12370	HSF	Os03g0224700
LOC_Os03g12370.2	LOC_Os03g12370	HSF	Os03g0224700
LOC_Os03g12370.3	LOC_Os03g12370	HSF	Os03g0224700
LOC_Os03g12490.1	LOC_Os03g12490	FAR1	None
LOC_Os03g12760.1	LOC_Os03g12760	bHLH	Os03g0229100
LOC_Os03g12940.1	LOC_Os03g12940	bHLH	Os03g0231950
LOC_Os03g12940.1	LOC_Os03g12940	bHLH	Os03g0232000
LOC_Os03g12940.2	LOC_Os03g12940	bHLH	Os03g0231950
LOC_Os03g12940.2	LOC_Os03g12940	bHLH	Os03g0232000
LOC_Os03g13614.1	LOC_Os03g13614	bZIP	Os03g0239400
LOC_Os03g13614.2	LOC_Os03g13614	bZIP	Os03g0239400
LOC_Os03g13614.3	LOC_Os03g13614	bZIP	Os03g0239400
LOC_Os03g14270.1	LOC_Os03g14270	LBD	Os03g0246900
LOC_Os03g14669.1	LOC_Os03g14669	NF-YC	Os03g0251350
LOC_Os03g14669.2	LOC_Os03g14669	NF-YC	Os03g0251350
LOC_Os03g15010.1	LOC_Os03g15010	FAR1	Os03g0255000
LOC_Os03g15040.1	LOC_Os03g15040	FAR1	Os03g0255400
LOC_Os03g15040.2	LOC_Os03g15040	FAR1	Os03g0255400
LOC_Os03g15440.1	LOC_Os03g15440	bHLH	Os03g0260600
LOC_Os03g15680.1	LOC_Os03g15680	GRAS	Os03g0263300
LOC_Os03g16850.1	LOC_Os03g16850	Dof	Os03g0276300
LOC_Os03g17130.1	LOC_Os03g17130	bHLH	Os03g0279500
LOC_Os03g17810.1	LOC_Os03g17810	LBD	Os03g0287400
LOC_Os03g18330.1	LOC_Os03g18330	Trihelix	None
LOC_Os03g18340.1	LOC_Os03g18340	Trihelix	None
LOC_Os03g19370.1	LOC_Os03g19370	bZIP	Os03g0306700
LOC_Os03g19375.1	LOC_Os03g19375	bZIP	Os03g0306700
LOC_Os03g20310.1	LOC_Os03g20310	bZIP	Os03g0318600
LOC_Os03g20310.2	LOC_Os03g20310	bZIP	Os03g0318600
LOC_Os03g20310.3	LOC_Os03g20310	bZIP	Os03g0318600
LOC_Os03g20310.4	LOC_Os03g20310	bZIP	Os03g0318600
LOC_Os03g20550.1	LOC_Os03g20550	WRKY	Os03g0321700
LOC_Os03g20550.2	LOC_Os03g20550	WRKY	Os03g0321700
LOC_Os03g20650.1	LOC_Os03g20650	bZIP	Os03g0322700
LOC_Os03g20780.1	LOC_Os03g20780	EIL	Os03g0324200
LOC_Os03g20790.1	LOC_Os03g20790	EIL	Os03g0324300
LOC_Os03g21030.1	LOC_Os03g21030	NAC	Os03g0327100
LOC_Os03g21060.1	LOC_Os03g21060	NAC	Os03g0327800
LOC_Os03g21660.1	LOC_Os03g21660	FAR1	None
LOC_Os03g21710.1	LOC_Os03g21710	WRKY	Os03g0335200
LOC_Os03g21800.1	LOC_Os03g21800	bZIP	Os03g0336200
LOC_Os03g21800.2	LOC_Os03g21800	bZIP	Os03g0336200
LOC_Os03g25120.1	LOC_Os03g25120	HSF	Os03g0366800
LOC_Os03g25430.1	LOC_Os03g25430	GeBP	Os03g0370250
LOC_Os03g26210.1	LOC_Os03g26210	bHLH	Os03g0379300
LOC_Os03g26210.2	LOC_Os03g26210	bHLH	Os03g0379300
LOC_Os03g26210.3	LOC_Os03g26210	bHLH	Os03g0379300
LOC_Os03g27390.1	LOC_Os03g27390	bHLH	Os03g0391700
LOC_Os03g27390.2	LOC_Os03g27390	bHLH	Os03g0391700
LOC_Os03g29480.1	LOC_Os03g29480	GRAS	Os03g0408600
LOC_Os03g29760.1	LOC_Os03g29760	NF-YA	Os03g0411100
LOC_Os03g29760.2	LOC_Os03g29760	NF-YA	Os03g0411100
LOC_Os03g29760.3	LOC_Os03g29760	NF-YA	Os03g0411100
LOC_Os03g29970.1	LOC_Os03g29970	NF-YB	Os03g0413000
LOC_Os03g31880.1	LOC_Os03g31880	GRAS	Os03g0433200
LOC_Os03g33012.1	LOC_Os03g33012	WRKY	Os03g0444900
LOC_Os03g33090.1	LOC_Os03g33090	LBD	Os03g0445700
LOC_Os03g37900.1	LOC_Os03g37900	GRAS	Os03g0575900
LOC_Os03g37920.1	LOC_Os03g37920	FAR1	None
LOC_Os03g38870.1	LOC_Os03g38870	Dof	Os03g0585600
LOC_Os03g39050.1	LOC_Os03g39050	NAC	Os03g0587700
LOC_Os03g39050.1	LOC_Os03g39050	NAC	Os03g0587850
LOC_Os03g39100.1	LOC_Os03g39100	NAC	Os03g0588000
LOC_Os03g40080.1	LOC_Os03g40080	GRAS	None
LOC_Os03g40160.1	LOC_Os03g40160	FAR1	Os03g0598600
LOC_Os03g40160.1	LOC_Os03g40160	FAR1	Os03g0598650
LOC_Os03g41330.1	LOC_Os03g41330	LBD	Os03g0609500
LOC_Os03g41600.1	LOC_Os03g41600	LBD	Os03g0612400
LOC_Os03g41800.1	LOC_Os03g41800	FAR1	Os03g0614250
LOC_Os03g42100.1	LOC_Os03g42100	bHLH	None
LOC_Os03g42200.1	LOC_Os03g42200	Dof	Os03g0619001
LOC_Os03g42200.1	LOC_Os03g42200	Dof	Os03g0619002
LOC_Os03g42200.1	LOC_Os03g42200	Dof	Os03g0619151
LOC_Os03g42630.1	LOC_Os03g42630	NAC	Os03g0624600
LOC_Os03g43730.1	LOC_Os03g43730	CPP	Os03g0638300
LOC_Os03g43810.1	LOC_Os03g43810	bHLH	Os03g0639300
LOC_Os03g44540.1	LOC_Os03g44540	NF-YA	Os03g0647600
LOC_Os03g44710.1	LOC_Os03g44710	YABBY	Os03g0650000
LOC_Os03g44710.2	LOC_Os03g44710	YABBY	Os03g0650000
LOC_Os03g44710.3	LOC_Os03g44710	YABBY	Os03g0650000
LOC_Os03g45300.1	LOC_Os03g45300	FAR1	Os03g0655600
LOC_Os03g45450.1	LOC_Os03g45450	WRKY	Os03g0657400
LOC_Os03g45750.1	LOC_Os03g45750	LBD	Os03g0659700
LOC_Os03g46350.1	LOC_Os03g46350	Trihelix	Os03g0666300
LOC_Os03g46790.1	LOC_Os03g46790	bHLH	Os03g0671000
LOC_Os03g46860.1	LOC_Os03g46860	bHLH	Os03g0671800
LOC_Os03g47200.1	LOC_Os03g47200	bZIP	Os03g0675400
LOC_Os03g47970.1	LOC_Os03g47970	GATA	Os03g0684000
LOC_Os03g47970.2	LOC_Os03g47970	GATA	Os03g0684000
LOC_Os03g48450.1	LOC_Os03g48450	GRAS	Os03g0690600
LOC_Os03g48450.2	LOC_Os03g48450	GRAS	Os03g0690600
LOC_Os03g48450.3	LOC_Os03g48450	GRAS	Os03g0690600
LOC_Os03g48450.4	LOC_Os03g48450	GRAS	Os03g0690600
LOC_Os03g48970.1	LOC_Os03g48970	NF-YA	Os03g0696300
LOC_Os03g48970.2	LOC_Os03g48970	NF-YA	Os03g0696300
LOC_Os03g48970.3	LOC_Os03g48970	NF-YA	Os03g0696300
LOC_Os03g48970.4	LOC_Os03g48970	NF-YA	Os03g0696300
LOC_Os03g49880.1	LOC_Os03g49880	TCP	Os03g0706500
LOC_Os03g49990.1	LOC_Os03g49990	GRAS	Os03g0707600
LOC_Os03g50110.1	LOC_Os03g50110	GeBP	Os03g0708800
LOC_Os03g50900.1	LOC_Os03g50900	FAR1	Os03g0718200
LOC_Os03g50920.1	LOC_Os03g50920	ZF-HD	Os03g0718500
LOC_Os03g51330.1	LOC_Os03g51330	GRAS	Os03g0723000
LOC_Os03g51580.1	LOC_Os03g51580	bHLH	Os03g0725800
LOC_Os03g51910.1	LOC_Os03g51910	bHLH	Os03g0728900
LOC_Os03g52450.1	LOC_Os03g52450	GATA	Os03g0734900
LOC_Os03g52450.2	LOC_Os03g52450	GATA	Os03g0734900
LOC_Os03g53020.1	LOC_Os03g53020	bHLH	Os03g0741100
LOC_Os03g53050.1	LOC_Os03g53050	WRKY	Os03g0741400
LOC_Os03g53340.1	LOC_Os03g53340	HSF	Os03g0745000
LOC_Os03g53340.2	LOC_Os03g53340	HSF	Os03g0745000
LOC_Os03g53340.3	LOC_Os03g53340	HSF	Os03g0745000
LOC_Os03g53340.6	LOC_Os03g53340	HSF	Os03g0745000
LOC_Os03g55080.1	LOC_Os03g55080	WRKY	Os03g0758000
LOC_Os03g55080.1	LOC_Os03g55080	WRKY	Os03g0758050
LOC_Os03g55164.1	LOC_Os03g55164	WRKY	Os03g0758900
LOC_Os03g55164.1	LOC_Os03g55164	WRKY	Os03g0758950
LOC_Os03g55164.2	LOC_Os03g55164	WRKY	Os03g0758900
LOC_Os03g55164.2	LOC_Os03g55164	WRKY	Os03g0758950
LOC_Os03g55220.1	LOC_Os03g55220	bHLH	Os03g0759700
LOC_Os03g55220.2	LOC_Os03g55220	bHLH	Os03g0759700
LOC_Os03g55550.1	LOC_Os03g55550	bHLH	Os03g0764200
LOC_Os03g55610.1	LOC_Os03g55610	Dof	Os03g0764900
LOC_Os03g56010.1	LOC_Os03g56010	bZIP	Os03g0770000
LOC_Os03g56580.1	LOC_Os03g56580	NAC	Os03g0777000
LOC_Os03g56630.1	LOC_Os03g56630	FAR1	Os03g0777700
LOC_Os03g56630.2	LOC_Os03g56630	FAR1	Os03g0777700
LOC_Os03g56950.1	LOC_Os03g56950	bHLH	Os03g0782500
LOC_Os03g56950.2	LOC_Os03g56950	bHLH	Os03g0782500
LOC_Os03g56950.3	LOC_Os03g56950	bHLH	Os03g0782500
LOC_Os03g56950.4	LOC_Os03g56950	bHLH	Os03g0782500
LOC_Os03g56950.5	LOC_Os03g56950	bHLH	Os03g0782500
LOC_Os03g56950.6	LOC_Os03g56950	bHLH	Os03g0782500
LOC_Os03g56950.7	LOC_Os03g56950	bHLH	Os03g0782500
LOC_Os03g57190.1	LOC_Os03g57190	TCP	Os03g0785800
LOC_Os03g57670.1	LOC_Os03g57670	LBD	Os03g0790600
LOC_Os03g58160.1	LOC_Os03g58160	HSF	Os03g0795900
LOC_Os03g58160.2	LOC_Os03g58160	HSF	Os03g0795900
LOC_Os03g58250.1	LOC_Os03g58250	bZIP	Os03g0796900
LOC_Os03g58330.1	LOC_Os03g58330	bHLH	Os03g0797600
LOC_Os03g58420.1	LOC_Os03g58420	WRKY	Os03g0798500
LOC_Os03g58420.2	LOC_Os03g58420	WRKY	Os03g0798500
LOC_Os03g58830.1	LOC_Os03g58830	bHLH	Os03g0802900
LOC_Os03g59460.1	LOC_Os03g59460	bZIP	Os03g0809200
LOC_Os03g59670.1	LOC_Os03g59670	bHLH	Os03g0811400
LOC_Os03g59730.1	LOC_Os03g59730	NAC	Os03g0811850
LOC_Os03g60080.1	LOC_Os03g60080	NAC	Os03g0815100
LOC_Os03g60630.1	LOC_Os03g60630	Dof	Os03g0821200
LOC_Os03g61249.1	LOC_Os03g61249	NAC	None
LOC_Os03g61319.1	LOC_Os03g61319	NAC	None
LOC_Os03g61570.2	LOC_Os03g61570	GATA	Os03g0831200
LOC_Os03g61650.1	LOC_Os03g61650	NAC	Os03g0832000
LOC_Os03g61760.1	LOC_Os03g61760	SBP	Os03g0833300
LOC_Os03g62470.1	LOC_Os03g62470	NAC	None
LOC_Os03g62660.1	LOC_Os03g62660	FAR1	Os03g0843700
LOC_Os03g62660.2	LOC_Os03g62660	FAR1	Os03g0843700
LOC_Os03g63530.1	LOC_Os03g63530	NF-YC	Os03g0852300
LOC_Os03g63530.2	LOC_Os03g63530	NF-YC	Os03g0852300
LOC_Os03g63750.1	LOC_Os03g63750	HSF	Os03g0854500
LOC_Os03g63810.1	LOC_Os03g63810	WRKY	Os03g0855100
LOC_Os04g02140.1	LOC_Os04g02140	E2F/DP	Os04g0112200
LOC_Os04g04300.1	LOC_Os04g04300	WRKY	None
LOC_Os04g04400.1	LOC_Os04g04400	FAR1	Os04g0133000
LOC_Os04g04400.1	LOC_Os04g04400	FAR1	Os04g0133100
LOC_Os04g09560.1	LOC_Os04g09560	CPP	None
LOC_Os04g10260.1	LOC_Os04g10260	bZIP	Os04g0181300
LOC_Os04g10860.1	LOC_Os04g10860	FAR1	None
LOC_Os04g11830.1	LOC_Os04g11830	TCP	Os04g0194600
LOC_Os04g21950.1	LOC_Os04g21950	WRKY	Os04g0287400
LOC_Os04g22990.1	LOC_Os04g22990	FAR1	Os04g0296034
LOC_Os04g23440.1	LOC_Os04g23440	bHLH	Os04g0300600
LOC_Os04g23550.1	LOC_Os04g23550	bHLH	Os04g0301500
LOC_Os04g23550.2	LOC_Os04g23550	bHLH	Os04g0301500
LOC_Os04g25100.1	LOC_Os04g25100	FAR1	Os04g0316800
LOC_Os04g25100.1	LOC_Os04g25100	FAR1	Os04g0316850
LOC_Os04g28280.1	LOC_Os04g28280	bHLH	Os04g0350700
LOC_Os04g28580.1	LOC_Os04g28580	FAR1	Os04g0354200
LOC_Os04g30870.1	LOC_Os04g30870	FAR1	Os04g0377500
LOC_Os04g31290.1	LOC_Os04g31290	bHLH	Os04g0381700
LOC_Os04g31900.1	LOC_Os04g31900	CAMTA	Os04g0388500
LOC_Os04g32590.1	LOC_Os04g32590	Trihelix	Os04g0397500
LOC_Os04g33420.1	LOC_Os04g33420	S1Fa-like	Os04g0408900
LOC_Os04g33440.2	LOC_Os04g33440	S1Fa-like	Os04g0408700
LOC_Os04g33950.1	LOC_Os04g33950	E2F/DP	Os04g0416100
LOC_Os04g35010.1	LOC_Os04g35010	bHLH	Os04g0429400
LOC_Os04g35250.1	LOC_Os04g35250	GRAS	Os04g0432100
LOC_Os04g35500.1	LOC_Os04g35500	ZF-HD	Os04g0434500
LOC_Os04g35660.1	LOC_Os04g35660	NAC	Os04g0437000
LOC_Os04g36590.1	LOC_Os04g36590	FAR1	Os04g0443000
LOC_Os04g36790.1	LOC_Os04g36790	Trihelix	Os04g0445600
LOC_Os04g37440.1	LOC_Os04g37440	GRAS	Os04g0447232
LOC_Os04g38400.1	LOC_Os04g38400	EIL	Os04g0456900
LOC_Os04g38720.1	LOC_Os04g38720	NAC	Os04g0460600
LOC_Os04g39570.1	LOC_Os04g39570	WRKY	Os04g0471700
LOC_Os04g39570.2	LOC_Os04g39570	WRKY	Os04g0471700
LOC_Os04g39960.1	LOC_Os04g39960	NAC	Os04g0475400
LOC_Os04g40060.1	LOC_Os04g40060	FAR1	Os04g0476500
LOC_Os04g40140.1	LOC_Os04g40140	NAC	Os04g0477300
LOC_Os04g40140.2	LOC_Os04g40140	NAC	Os04g0477300
LOC_Os04g40140.3	LOC_Os04g40140	NAC	Os04g0477300
LOC_Os04g40930.1	LOC_Os04g40930	Trihelix	Os04g0486400
LOC_Os04g41229.1	LOC_Os04g41229	bHLH	Os04g0489600
LOC_Os04g41229.2	LOC_Os04g41229	bHLH	Os04g0489600
LOC_Os04g41820.1	LOC_Os04g41820	bZIP	Os04g0495500
LOC_Os04g41850.1	LOC_Os04g41850	Nin-like	Os04g0495800
LOC_Os04g42940.1	LOC_Os04g42940	NAC	Os04g0508400
LOC_Os04g43560.1	LOC_Os04g43560	NAC	Os04g0515900
LOC_Os04g44440.1	LOC_Os04g44440	TCP	Os04g0526000
LOC_Os04g44630.1	LOC_Os04g44630	FAR1	None
LOC_Os04g45330.1	LOC_Os04g45330	YABBY	Os04g0536300
LOC_Os04g45650.2	LOC_Os04g45650	GATA	Os04g0539500
LOC_Os04g45750.1	LOC_Os04g45750	Trihelix	Os04g0541100
LOC_Os04g45750.2	LOC_Os04g45750	Trihelix	Os04g0541100
LOC_Os04g45940.1	LOC_Os04g45940	Trihelix	Os04g0543500
LOC_Os04g46020.1	LOC_Os04g46020	GATA	Os04g0544500
LOC_Os04g46020.2	LOC_Os04g46020	GATA	Os04g0544500
LOC_Os04g46060.1	LOC_Os04g46060	WRKY	Os04g0545000
LOC_Os04g46580.1	LOC_Os04g46580	SBP	Os04g0551500
LOC_Os04g46860.1	LOC_Os04g46860	GRAS	Os04g0555000
LOC_Os04g47040.1	LOC_Os04g47040	bHLH	Os04g0557200
LOC_Os04g47059.1	LOC_Os04g47059	bHLH	Os04g0557500
LOC_Os04g47080.1	LOC_Os04g47080	bHLH	Os04g0557800
LOC_Os04g47640.1	LOC_Os04g47640	Nin-like	Os04g0564000
LOC_Os04g47990.1	LOC_Os04g47990	Dof	Os04g0567800
LOC_Os04g47990.2	LOC_Os04g47990	Dof	Os04g0567800
LOC_Os04g48030.1	LOC_Os04g48030	HSF	Os04g0568700
LOC_Os04g49110.1	LOC_Os04g49110	GRAS	Os04g0580300
LOC_Os04g49380.1	LOC_Os04g49380	FAR1	None
LOC_Os04g50060.1	LOC_Os04g50060	GRAS	Os04g0590400
LOC_Os04g50060.2	LOC_Os04g50060	GRAS	Os04g0590400
LOC_Os04g50090.1	LOC_Os04g50090	bHLH	Os04g0590800
LOC_Os04g50920.1	LOC_Os04g50920	WRKY	Os04g0597300
LOC_Os04g51000.1	LOC_Os04g51000	LFY	Os04g0598300
LOC_Os04g51070.1	LOC_Os04g51070	bHLH	Os04g0599300
LOC_Os04g51320.1	LOC_Os04g51320	Trihelix	Os04g0602300
LOC_Os04g51560.1	LOC_Os04g51560	WRKY	Os04g0605100
LOC_Os04g52560.1	LOC_Os04g52560	FAR1	Os04g0615900
LOC_Os04g52770.1	LOC_Os04g52770	bHLH	Os04g0618600
LOC_Os04g52810.1	LOC_Os04g52810	NAC	Os04g0619000
LOC_Os04g53990.1	LOC_Os04g53990	bHLH	Os04g0631600
LOC_Os04g54474.1	LOC_Os04g54474	bZIP	Os04g0637000
LOC_Os04g54474.2	LOC_Os04g54474	bZIP	Os04g0637000
LOC_Os04g54474.3	LOC_Os04g54474	bZIP	Os04g0637000
LOC_Os04g54880.1	LOC_Os04g54880	FAR1	Os04g0641500
LOC_Os04g54880.1	LOC_Os04g54880	FAR1	Os04g0641550
LOC_Os04g54900.1	LOC_Os04g54900	bHLH	Os04g0641700
LOC_Os04g56170.1	LOC_Os04g56170	SBP	Os04g0656500
LOC_Os04g57530.1	LOC_Os04g57530	Trihelix	Os04g0670900
LOC_Os04g58190.1	LOC_Os04g58190	Dof	Os04g0678400
LOC_Os04g58190.2	LOC_Os04g58190	Dof	Os04g0678400
LOC_Os04g58190.3	LOC_Os04g58190	Dof	Os04g0678400
LOC_Os04g58680.1	LOC_Os04g58680	NF-YC	Os04g0683400
LOC_Os04g59470.1	LOC_Os04g59470	NAC	Os04g0691300
LOC_Os05g01256.1	LOC_Os05g01256	bHLH	Os05g0103000
LOC_Os05g01256.2	LOC_Os05g01256	bHLH	Os05g0103000
LOC_Os05g02150.1	LOC_Os05g02150	Dof	Os05g0112200
LOC_Os05g03090.1	LOC_Os05g03090	FAR1	Os05g0122250
LOC_Os05g03160.1	LOC_Os05g03160	LBD	Os05g0123000
LOC_Os05g03740.1	LOC_Os05g03740	Trihelix	Os05g0128000
LOC_Os05g03800.1	LOC_Os05g03800	FAR1	Os05g0128600
LOC_Os05g03800.1	LOC_Os05g03800	FAR1	Os05g0128700
LOC_Os05g03860.1	LOC_Os05g03860	bZIP	Os05g0129300
LOC_Os05g03865.1	LOC_Os05g03865	bZIP	Os05g0129300
LOC_Os05g03900.1	LOC_Os05g03900	WRKY	Os05g0129800
LOC_Os05g03900.2	LOC_Os05g03900	WRKY	Os05g0129800
LOC_Os05g04640.1	LOC_Os05g04640	WRKY	Os05g0137500
LOC_Os05g04740.1	LOC_Os05g04740	bHLH	Os05g0139100
LOC_Os05g04740.2	LOC_Os05g04740	bHLH	Os05g0139100
LOC_Os05g06170.1	LOC_Os05g06170	FAR1	None
LOC_Os05g06340.1	LOC_Os05g06340	GATA	Os05g0155400
LOC_Os05g06520.1	LOC_Os05g06520	bHLH	Os05g0157400
LOC_Os05g07120.1	LOC_Os05g07120	bHLH	Os05g0163900
LOC_Os05g07120.2	LOC_Os05g07120	bHLH	Os05g0163900
LOC_Os05g07270.1	LOC_Os05g07270	LBD	Os05g0165450
LOC_Os05g09020.1	LOC_Os05g09020	WRKY	Os05g0183100
LOC_Os05g09020.2	LOC_Os05g09020	WRKY	Os05g0183100
LOC_Os05g10620.1	LOC_Os05g10620	NAC	Os05g0194500
LOC_Os05g10620.2	LOC_Os05g10620	NAC	Os05g0194500
LOC_Os05g10620.3	LOC_Os05g10620	NAC	Os05g0194500
LOC_Os05g11070.1	LOC_Os05g11070	bHLH	Os05g0199800
LOC_Os05g14370.1	LOC_Os05g14370	WRKY	Os05g0233100
LOC_Os05g23910.1	LOC_Os05g23910	NF-YC	Os05g0304800
LOC_Os05g25320.1	LOC_Os05g25320	FAR1	Os05g0317300
LOC_Os05g25770.1	LOC_Os05g25770	WRKY	Os05g0322900
LOC_Os05g25960.1	LOC_Os05g25960	NAC	Os05g0325300
LOC_Os05g26026.1	LOC_Os05g26026	NAC	Os05g0326800
LOC_Os05g26049.1	LOC_Os05g26049	NAC	Os05g0326500
LOC_Os05g27730.1	LOC_Os05g27730	WRKY	Os05g0343400
LOC_Os05g27749.1	LOC_Os05g27749	NAC	Os05g0348500
LOC_Os05g27980.1	LOC_Os05g27980	LBD	Os05g0346800
LOC_Os05g30310.1	LOC_Os05g30310	FAR1	None
LOC_Os05g30720.1	LOC_Os05g30720	FAR1	Os05g0370100
LOC_Os05g31380.1	LOC_Os05g31380	GRAS	Os05g0378200
LOC_Os05g31420.1	LOC_Os05g31420	GRAS	Os05g0378500
LOC_Os05g32070.1	LOC_Os05g32070	SRS	Os05g0386201
LOC_Os05g33810.1	LOC_Os05g33810	SBP	Os05g0408200
LOC_Os05g34050.1	LOC_Os05g34050	bZIP	Os05g0411300
LOC_Os05g34310.1	LOC_Os05g34310	NAC	Os05g0415400
LOC_Os05g34450.1	LOC_Os05g34450	LBD	Os05g0417000
LOC_Os05g34600.1	LOC_Os05g34600	NAC	Os05g0418800
LOC_Os05g34830.1	LOC_Os05g34830	NAC	Os05g0421600
LOC_Os05g34830.2	LOC_Os05g34830	NAC	Os05g0421600
LOC_Os05g34830.3	LOC_Os05g34830	NAC	Os05g0421600
LOC_Os05g35170.1	LOC_Os05g35170	NAC	Os05g0426200
LOC_Os05g35170.2	LOC_Os05g35170	NAC	Os05g0426200
LOC_Os05g35170.3	LOC_Os05g35170	NAC	Os05g0426200
LOC_Os05g35170.4	LOC_Os05g35170	NAC	Os05g0426200
LOC_Os05g35170.5	LOC_Os05g35170	NAC	Os05g0426200
LOC_Os05g36160.1	LOC_Os05g36160	bZIP	Os05g0437700
LOC_Os05g36160.2	LOC_Os05g36160	bZIP	Os05g0437700
LOC_Os05g36900.1	LOC_Os05g36900	Dof	Os05g0440000
LOC_Os05g37080.1	LOC_Os05g37080	NAC	Os05g0442700
LOC_Os05g37170.1	LOC_Os05g37170	bZIP	Os05g0443850
LOC_Os05g37170.1	LOC_Os05g37170	bZIP	Os05g0443900
LOC_Os05g37170.2	LOC_Os05g37170	bZIP	Os05g0443850
LOC_Os05g37170.2	LOC_Os05g37170	bZIP	Os05g0443900
LOC_Os05g37170.3	LOC_Os05g37170	bZIP	Os05g0443850
LOC_Os05g37170.3	LOC_Os05g37170	bZIP	Os05g0443900
LOC_Os05g37170.4	LOC_Os05g37170	bZIP	Os05g0443850
LOC_Os05g37170.4	LOC_Os05g37170	bZIP	Os05g0443900
LOC_Os05g37170.5	LOC_Os05g37170	bZIP	Os05g0443850
LOC_Os05g37170.5	LOC_Os05g37170	bZIP	Os05g0443900
LOC_Os05g37170.6	LOC_Os05g37170	bZIP	Os05g0443850
LOC_Os05g37170.6	LOC_Os05g37170	bZIP	Os05g0443900
LOC_Os05g37170.8	LOC_Os05g37170	bZIP	Os05g0443850
LOC_Os05g37170.8	LOC_Os05g37170	bZIP	Os05g0443900
LOC_Os05g37540.1	LOC_Os05g37540	FAR1	Os05g0447900
LOC_Os05g38140.1	LOC_Os05g38140	bHLH	Os05g0455400
LOC_Os05g38820.4	LOC_Os05g38820	NF-YB	Os05g0463800
LOC_Os05g39480.1	LOC_Os05g39480	FAR1	None
LOC_Os05g39720.1	LOC_Os05g39720	WRKY	Os05g0474800
LOC_Os05g39790.1	LOC_Os05g39790	FAR1	Os05g0475600
LOC_Os05g40060.1	LOC_Os05g40060	WRKY	Os05g0478400
LOC_Os05g40070.1	LOC_Os05g40070	WRKY	Os05g0478700
LOC_Os05g40080.1	LOC_Os05g40080	WRKY	Os05g0478800
LOC_Os05g40680.1	LOC_Os05g40680	FAR1	Os05g0485150
LOC_Os05g40710.1	LOC_Os05g40710	GRAS	Os05g0485400
LOC_Os05g41070.1	LOC_Os05g41070	bZIP	Os05g0489700
LOC_Os05g41280.1	LOC_Os05g41280	bZIP	Os05g0492000
LOC_Os05g41450.1	LOC_Os05g41450	NF-YC	Os05g0494100
LOC_Os05g41540.1	LOC_Os05g41540	bZIP	Os05g0495200
LOC_Os05g42130.1	LOC_Os05g42130	GRAS	Os05g0500600
LOC_Os05g42180.1	LOC_Os05g42180	bHLH	Os05g0501200
LOC_Os05g43380.1	LOC_Os05g43380	CPP	Os05g0509400
LOC_Os05g43380.2	LOC_Os05g43380	CPP	Os05g0509400
LOC_Os05g43760.1	LOC_Os05g43760	TCP	Os05g0513100
LOC_Os05g43950.1	LOC_Os05g43950	VOZ	Os05g0515700
LOC_Os05g43960.1	LOC_Os05g43960	NAC	Os05g0515800
LOC_Os05g44400.1	LOC_Os05g44400	GATA	Os05g0520300
LOC_Os05g45230.1	LOC_Os05g45230	WRKY	Os05g0528500
LOC_Os05g45410.1	LOC_Os05g45410	HSF	Os05g0530400
LOC_Os05g46020.1	LOC_Os05g46020	WRKY	Os05g0537100
LOC_Os05g46370.1	LOC_Os05g46370	bHLH	Os05g0541400
LOC_Os05g48690.1	LOC_Os05g48690	Trihelix	Os05g0560600
LOC_Os05g48690.2	LOC_Os05g48690	Trihelix	Os05g0560600
LOC_Os05g48850.1	LOC_Os05g48850	NAC	Os05g0563000
LOC_Os05g49100.1	LOC_Os05g49100	WRKY	Os05g0565900
LOC_Os05g49210.1	LOC_Os05g49210	WRKY	Os05g0567200
LOC_Os05g49280.1	LOC_Os05g49280	GATA	Os05g0567900
LOC_Os05g49420.1	LOC_Os05g49420	bZIP	Os05g0569300
LOC_Os05g49620.1	LOC_Os05g49620	WRKY	Os05g0571200
LOC_Os05g49780.1	LOC_Os05g49780	NF-YB	Os05g0573500
LOC_Os05g49930.1	LOC_Os05g49930	GRAS	Os05g0574900
LOC_Os05g50270.1	LOC_Os05g50270	GATA	Os05g0578900
LOC_Os05g50310.1	LOC_Os05g50310	ZF-HD	Os05g0579300
LOC_Os05g50610.1	LOC_Os05g50610	WRKY	Os05g0583000
LOC_Os05g50610.2	LOC_Os05g50610	WRKY	Os05g0583000
LOC_Os05g50700.1	LOC_Os05g50700	WRKY	None
LOC_Os05g50900.1	LOC_Os05g50900	bHLH	Os05g0586300
LOC_Os05g51040.1	LOC_Os05g51040	CPP	Os05g0588000
LOC_Os05g51820.1	LOC_Os05g51820	bHLH	Os05g0597000
LOC_Os06g01230.1	LOC_Os06g01230	NAC	Os06g0101800
LOC_Os06g01230.2	LOC_Os06g01230	NAC	Os06g0101800
LOC_Os06g01480.1	LOC_Os06g01480	NAC	Os06g0104200
LOC_Os06g01620.1	LOC_Os06g01620	GRAS	Os06g0105350
LOC_Os06g03710.1	LOC_Os06g03710	GRAS	Os06g0127800
LOC_Os06g04010.1	LOC_Os06g04010	BBR-BPC	Os06g0130600
LOC_Os06g04010.2	LOC_Os06g04010	BBR-BPC	Os06g0130600
LOC_Os06g04090.1	LOC_Os06g04090	NAC	Os06g0131700
LOC_Os06g05350.1	LOC_Os06g05350	Whirly	Os06g0145800
